,BHK,Area,Price,Location
0,3 ,1250 ,65 L,"Chattarpur,Delhi"
1,3 ,1200 ,70 L,"Vasant Kunj,Delhi"
2,3 ,1500 ,75 L,"Chattarpur,Delhi"
3,2 ,800 ,50 L,"Vasant Kunj,Delhi"
4,2 ,900 ,50 L,"Mehrauli,Delhi"
5,4 ,3000 ,70 L,"Anand Parbat,Delhi"
6,2 ,840 ,90 L,"vikaspuri,Delhi"
7,3 ,800 ,50.5 L,"Uttam Nagar,Delhi"
8,1 ,500 ,42 L,"Sector 14 Dwarka,Delhi"
9,2 ,522 ,28 L,"Uttam Nagar,Delhi"
10,2 ,720 ,31 L,"Dwarka Mor,Delhi"
11,2 ,642 ,25 L,"Hastsal,Delhi"
12,2 ,1100 ,1.2 Cr,"Subhash Nagar,Delhi"
13,2 ,800 ,38 L,"Mahavir Enclave,Delhi"
14,4 ,1935 ,1.6 Cr,"Chattarpur,Delhi"
15,2 ,732 ,85 L,"Sector 18 Rohini,Delhi"
16,3 ,1350 ,2 Cr,"Janakpuri,Delhi"
17,3 ,1650 ,2.65 Cr,"Janakpuri,Delhi"
18,2 ,713 ,25 L,"Sector 22 Rohini,Delhi"
19,5 ,2500 ,2.5 Cr,"Rangpuri,Delhi"
20,4 ,1229 ,1.6 Cr,"Model Town,Delhi"
21,4 ,1800 ,1.4 Cr,"Jamia Nagar,Delhi"
22,3 ,900 ,65 L,"Sector 1 Dwarka,Delhi"
23,2 ,540 ,31 L,"Dwarka Mor,Delhi"
24,2 ,825 ,95 L,"Mansarover Garden,Delhi"
25,3 ,900 ,60 L,"Uttam Nagar,Delhi"
26,3 ,1350 ,63 L,"Shahdara,Delhi"
27,5 ,3600 ,7.25 Cr,"Karol Bagh,Delhi"
28,3 ,1337 ,75 L,"Chattarpur,Delhi"
29,2 ,802 ,35 L,"Palam,Delhi"
30,3 ,900 ,35 L,"Dwarka Mor,Delhi"
31,2 ,684 ,48 L,"Sarai Rohilla,Delhi"
32,3 ,1000 ,33 L,"laxmi nagar,Delhi"
33,3 ,1350 ,1.8 Cr,"Sector 6 Dwarka,Delhi"
34,3 ,1000 ,75 L,"Sector 23 Dwarka,Delhi"
35,2 ,450 ,21 L,"Uttam Nagar,Delhi"
36,2 ,800 ,35 L,"Chattarpur,Delhi"
37,2 ,600 ,54.99 L,"Sector 19 Dwarka,Delhi"
38,3 ,900 ,41.5 L,"Mahavir Enclave,Delhi"
39,4 ,4950 ,6.5 Cr,"Delhi,Delhi"
40,3 ,1200 ,69 L,"Badarpur,Delhi"
41,4 ,3600 ,5.5 Cr,"Sector 23 Rohini,Delhi"
42,4 ,3150 ,6.49 Cr,"Chittaranjan Park,Delhi"
43,3 ,1150 ,48 L,"Chattarpur,Delhi"
44,3 ,1100 ,1.29 Cr,"Jhil Mil Colony,Delhi"
45,2 ,585 ,22 L,"Badarpur,Delhi"
46,3 ,1250 ,1.85 Cr,"Vasant Kunj,Delhi"
47,2 ,720 ,38 L,"Rajpur,Delhi"
48,2 ,1000 ,73 L,"Gautam Nagar,Delhi"
49,5 ,3600 ,80 L,"Nangli Sakrawati,Delhi"
50,2 ,500 ,35 L,"laxmi nagar,Delhi"
51,3 ,1000 ,45 L,"Dwarka Mor,Delhi"
52,3 ,1000 ,51 L,"Manglapuri,Delhi"
53,3 ,1800 ,2.6 Cr,"vikaspuri,Delhi"
54,4 ,2700 ,2.75 Cr,"Model Town,Delhi"
55,3 ,1365 ,1.75 Cr,"laxmi nagar,Delhi"
56,3 ,990 ,35 L,"Dwarka Mor,Delhi"
57,4 ,1350 ,1.25 Cr,"Kalyan Vihar,Delhi"
58,2 ,900 ,55 L,"Krishna Nagar,Delhi"
59,4 ,3600 ,5 Cr,"vikaspuri,Delhi"
60,4 ,6000 ,2.85 Cr,"Palam,Delhi"
61,2 ,960 ,1.11 Cr,"Subhash Nagar,Delhi"
62,4 ,2400 ,2.8 Cr,"Sector-18 Dwarka,Delhi"
63,3 ,1535 ,62 L,"Bijwasan,Delhi"
64,4 ,1200 ,65 L,"Chattarpur,Delhi"
65,2 ,925 ,38 L,"Sector 10 Dwarka,Delhi"
66,2 ,810 ,60 L,"Krishna Nagar,Delhi"
67,2 ,800 ,43 L,"Bindapur,Delhi"
68,4 ,1950 ,1.6 Cr,"Pitampura,Delhi"
69,2 ,1025 ,57.99 L,"Mahavir Enclave,Delhi"
70,2 ,1100 ,88 L,"Sector 17 Dwarka,Delhi"
71,4 ,4100 ,6 Cr,"Krishna Nagar,Delhi"
72,4 ,4995 ,9.5 Cr,"Punjabi Bagh,Delhi"
73,3 ,1500 ,1.68 Cr,"vikaspuri,Delhi"
74,2 ,650 ,40 L,"Kalkaji,Delhi"
75,3 ,990 ,63 L,"Krishna Nagar,Delhi"
76,2 ,459 ,15 L,"Razapur Khurd,Delhi"
77,3 ,1780 ,2.6 Cr,"Ashok Vihar,Delhi"
78,3 ,2000 ,1 Cr,"Sabzi Mandi Old,Delhi"
79,3 ,1337 ,2.6 Cr,"Pitampura,Delhi"
80,2 ,810 ,46 L,"Tilak Nagar,Delhi"
81,1 ,450 ,20.99 L,"Mahavir Enclave,Delhi"
82,1 ,278 ,50 L,"rohini sector 5,Delhi"
83,3 ,1000 ,42 L,"Najafgarh,Delhi"
84,4 ,2000 ,2.75 Cr,"Tilak Nagar,Delhi"
85,3 ,1300 ,75 L,"Sewak Park,Delhi"
86,2 ,720 ,90 L,"Sector 19 Dwarka,Delhi"
87,3 ,1500 ,1.7 Cr,"Patparganj,Delhi"
88,2 ,675 ,55 L,"Shahdara,Delhi"
89,2 ,700 ,52.5 L,"Sector 21 Rohini,Delhi"
90,1 ,535 ,11 L,"Mehrauli,Delhi"
91,2 ,630 ,28 L,"Chattarpur,Delhi"
92,2 ,700 ,35 L,"Chattarpur,Delhi"
93,2 ,986 ,2 Cr,"Sector 13 Rohini,Delhi"
94,4 ,2700 ,3.5 Cr,"Paschim Vihar,Delhi"
95,1 ,320 ,30 L,"Sector 6 Rohini,Delhi"
96,2 ,500 ,29.99 L,"Uttam Nagar,Delhi"
97,3 ,631 ,35.75 L,"Saboli,Delhi"
98,2 ,850 ,45.99 L,"Mahavir Enclave,Delhi"
99,5 ,1980 ,1.25 Cr,"Shahdara,Delhi"
100,2 ,800 ,36.5 L,"Mahavir Enclave,Delhi"
101,2 ,800 ,38 L,"Mahavir Enclave,Delhi"
102,3 ,1100 ,70 L,"Jamia Nagar,Delhi"
103,3 ,1250 ,1.55 Cr,"vikaspuri,Delhi"
104,3 ,1250 ,1.65 Cr,"vikaspuri,Delhi"
105,1 ,345 ,33 L,"Sector-7 Rohini,Delhi"
106,4 ,2800 ,5 Cr,"vikaspuri,Delhi"
107,3 ,1500 ,2.45 Cr,"vikaspuri,Delhi"
108,4 ,2495 ,4.25 Cr,"Punjabi Bagh,Delhi"
109,3 ,1100 ,75 L,"Sector 1 Dwarka,Delhi"
110,1 ,500 ,42 L,"Sector 14 Dwarka,Delhi"
111,2 ,800 ,32 L,"Najafgarh,Delhi"
112,2 ,800 ,37 L,"Mahavir Enclave,Delhi"
113,2 ,900 ,74.99 L,"laxmi nagar,Delhi"
114,3 ,1350 ,1 Cr,"Sagar Pur,Delhi"
115,2 ,700 ,7 L,"Sector 28 Rohini,Delhi"
116,1 ,360 ,16.9 L,"Dwarka Mor,Delhi"
117,3 ,1000 ,1.1 Cr,"Paschim Vihar,Delhi"
118,2 ,800 ,39 L,"Mahavir Enclave,Delhi"
119,2 ,675 ,23 L,"Mundka,Delhi"
120,3 ,1200 ,1.8 Cr,"Sector 13 Rohini,Delhi"
121,3 ,1150 ,1.8 Cr,"Sector 13 Rohini,Delhi"
122,1 ,490 ,32 L,"Sector 25 Rohini,Delhi"
123,2 ,585 ,32 L,"Dwarka Mor,Delhi"
124,2 ,650 ,34.5 L,"Palam,Delhi"
125,3 ,1000 ,48 L,"Palam,Delhi"
126,3 ,1650 ,1.9 Cr,"Sector 13 Rohini,Delhi"
127,2 ,900 ,36.45 L,"Baljeet Nagar,Delhi"
128,2 ,500 ,33 L,"Sector 2 Rohini,Delhi"
129,2 ,800 ,38.5 L,"Mahavir Enclave,Delhi"
130,1 ,500 ,13 L,"Uttam Nagar,Delhi"
131,3 ,1100 ,50 L,"Chattarpur,Delhi"
132,1 ,450 ,55 L,"Munirka,Delhi"
133,1 ,450 ,55 L,"Munirka,Delhi"
134,2 ,1000 ,50 L,"Uttam Nagar,Delhi"
135,2 ,1000 ,45 L,"Uttam Nagar,Delhi"
136,3 ,900 ,40 L,"Burari,Delhi"
137,2 ,930 ,1.25 Cr,"Sector 13 Rohini,Delhi"
138,2 ,950 ,74 L,"Lajpat Nagar IV,Delhi"
139,2 ,675 ,46 L,"Najafgarh Road Industrial Area,Delhi"
140,2 ,800 ,39 L,"Mahavir Enclave,Delhi"
141,4 ,1800 ,2.5 Cr,"Malviya Nagar,Delhi"
142,2 ,1200 ,65 L,"Dilshad Garden,Delhi"
143,2 ,1100 ,35 L,"Sector 11 Rohini,Delhi"
144,3 ,1200 ,1.15 Cr,"Ghitorni,Delhi"
145,4 ,2000 ,1.48 Cr,"Saket,Delhi"
146,4 ,3000 ,3.61 Cr,"Sector 14 Rohini,Delhi"
147,3 ,1400 ,1.25 Cr,"Patel Nagar,Delhi"
148,2 ,750 ,75 L,"Janakpuri,Delhi"
149,2 ,1100 ,1.5 Cr,"Alaknanda,Delhi"
150,2 ,620 ,29.5 L,"Dwarka Mor,Delhi"
151,3 ,1000 ,43 L,"Uttam Nagar,Delhi"
152,1 ,350 ,26 L,"Karampura,Delhi"
153,3 ,1500 ,3.1 Cr,"Pitampura,Delhi"
154,2 ,500 ,38 L,"Sudarshan Park,Delhi"
155,3 ,1000 ,55 L,"Dashrath Puri,Delhi"
156,5 ,2750 ,1.5 Cr,"Shahdara,Delhi"
157,2 ,700 ,33.5 L,"Sector 10 Dwarka,Delhi"
158,3 ,1350 ,90 L,"Vijay Nagar,Delhi"
159,3 ,1050 ,1.4 Cr,"Chittaranjan Park,Delhi"
160,3 ,900 ,48 L,"Dwarka Mor,Delhi"
161,3 ,1125 ,2 Cr,"Chittaranjan Park,Delhi"
162,2 ,800 ,39 L,"Mahavir Enclave,Delhi"
163,3 ,1125 ,70 L,"Chattarpur,Delhi"
164,3 ,1350 ,1.7 Cr,"Janakpuri,Delhi"
165,2 ,540 ,36 L,"Mahavir Enclave,Delhi"
166,3 ,1250 ,1.6 Cr,"vikaspuri,Delhi"
167,3 ,900 ,59.99 L,"Rohini sector 24,Delhi"
168,1 ,450 ,18 L,"Chirag Dilli,Delhi"
169,1 ,450 ,17 L,"Budh Vihar,Delhi"
170,2 ,580 ,19 L,"Uttam Nagar,Delhi"
171,2 ,650 ,30 L,"Sector 13 Rohini,Delhi"
172,3 ,2600 ,3.9 Cr,"Vasant Kunj,Delhi"
173,2 ,675 ,35 L,"Palam,Delhi"
174,3 ,1000 ,59 L,"Dilshad Garden,Delhi"
175,2 ,540 ,22 L,"Dwarka Mor,Delhi"
176,3 ,2018 ,8 Cr,"Defence Colony,Delhi"
177,3 ,2018 ,7.5 Cr,"Defence Colony,Delhi"
178,2 ,900 ,34 L,"Dwarka Mor,Delhi"
179,2 ,450 ,30 L,"Uttam Nagar,Delhi"
